id,gender,mastercategory,subcategory,articletype,basecolour,season,year,usage,productdisplayname
15970,men,apparel,topwear,shirts,Navy Blue,fall,2011.0,casual,Turtle Check Men Navy Blue Shirt
39386,men,apparel,bottomwear,jeans,Blue,summer,2012.0,casual,Peter England Men Party Blue Jeans
59263,women,accessories,watches,watches,Silver,winter,2016.0,casual,Titan Women Silver Watch
21379,men,apparel,bottomwear,track pants,Black,fall,2011.0,casual,Manchester United Men Solid Black Track Pants
53759,men,apparel,topwear,tshirts,Grey,summer,2012.0,casual,Puma Men Grey T-shirt
1855,men,apparel,topwear,tshirts,Grey,summer,2011.0,casual,Inkfruit Mens Chain Reaction T-shirt
30805,men,apparel,topwear,shirts,Green,summer,2012.0,ethnic,Fabindia Men Striped Green Shirt
26960,women,apparel,topwear,shirts,Purple,summer,2012.0,casual,Jealous 21 Women Purple Shirt
29114,men,accessories,socks,socks,Navy Blue,summer,2012.0,casual,Puma Men Pack of 3 Socks
30039,men,accessories,watches,watches,Black,winter,2016.0,casual,Skagen Men Black Watch
9204,men,footwear,shoes,casual shoes,Black,summer,2011.0,casual,Puma Men Future Cat Remix SF Black Casual Shoes
48123,women,accessories,belts,belts,Black,summer,2012.0,casual,Fossil Women Black Huarache Weave Belt
18653,men,footwear,flip flops,flip flops,Black,fall,2011.0,casual,Fila Men Cush Flex Black Slippers
47957,women,accessories,bags,handbags,Blue,summer,2012.0,casual,Murcia Women Blue Handbag
46885,boys,footwear,flip flops,flip flops,Navy Blue,fall,2012.0,casual,Ben 10 Boys Navy Blue Slippers
12369,men,apparel,topwear,shirts,Purple,fall,2011.0,formal,Reid & Taylor Men Check Purple Shirts
29928,men,accessories,watches,watches,Black,winter,2016.0,casual,Police Men Black Dial Watch PL12889JVSB
42419,girls,apparel,topwear,tops,White,summer,2012.0,casual,Gini and Jony Girls Knit White Top
51832,women,apparel,innerwear,bra,Beige,summer,2016.0,casual,Bwitch Beige Full-Coverage Bra BW335
47359,women,accessories,bags,handbags,Brown,summer,2012.0,casual,Baggit Women Brown Handbag
17429,men,accessories,watches,watches,Black,winter,2016.0,casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223
12967,men,footwear,sandal,sandals,Black,fall,2011.0,casual,ADIDAS Men Spry M Black Sandals
6842,unisex,accessories,shoe accessories,shoe accessories,Black,summer,2011.0,casual,Timberland Unisex Rubber Sole Brush Shoe Accessories
13089,men,apparel,topwear,sweatshirts,Grey,fall,2011.0,sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts
18461,men,personal care,fragrance,deodorant,White,spring,2017.0,casual,David Beckham Signature Men Deos
9036,men,footwear,shoes,formal shoes,Black,winter,2011.0,formal,Buckaroo Men Flores Black Formal Shoes
48311,women,accessories,jewellery,bracelet,Bronze,winter,2012.0,casual,Pitaraa Women Bronze Beaded Bracelet
7990,men,apparel,topwear,tshirts,Navy Blue,fall,2011.0,sports,Fila Men's Round Neck Navy Blue T-shirt
56019,women,personal care,lips,lipstick,Brown,spring,2017.0,casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037
21977,women,accessories,bags,handbags,Brown,winter,2015.0,casual,Murcia Women Casual Brown Handbag
37812,men,apparel,topwear,shirts,Navy Blue,summer,2012.0,formal,John Players Men Navy Blue Shirt
4729,boys,apparel,topwear,tshirts,Green,summer,2011.0,casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear
56825,men,apparel,topwear,shirts,Brown,summer,2012.0,casual,John Players Men Brown Shirt
39988,men,footwear,shoes,casual shoes,White,winter,2014.0,casual,Gas Men Europa White Shoes
59051,women,footwear,shoes,flats,Black,winter,2012.0,casual,Carlton London Women Black & Gold Toned Flats
20099,women,apparel,topwear,kurtas,Green,fall,2011.0,ethnic,Diva Women Embroided Green Kurta
58183,women,accessories,bags,handbags,White,summer,2012.0,casual,Rocky S Women White Handbag
29742,women,accessories,bags,handbags,Teal,summer,2012.0,casual,Kiara Women Teal Handbag
51658,women,accessories,watches,watches,Copper,winter,2016.0,casual,Fossil Women Copper Chronograph Watch CH2589
3954,women,apparel,topwear,tshirts,Pink,summer,2011.0,casual,Jealous 21 Women's Pink T-shirt
